Station full name,Abbreviation,State,Country,Latitude,Longitude,Elevation,Time period,Network,Owner,Comment,URL,Data availability,Tier,Instrument,Components
Hrazdan,ARM_Solar_Hrazdan,,Armenia,40.5116,44.823,1845,2016-,World Bank,,Instrument and components has not been manually checked,https://energydata.info/dataset/armenia-solar-radiation-measurement-data,Freely,,Thermopile,
Masrik,ARM_Solar_Masrik,,Armenia,40.2077,45.7645,1944,2016-,World Bank,,Instrument and components has not been manually checked,https://energydata.info/dataset/armenia-solar-radiation-measurement-data,Freely,,Thermopile,
Talin,ARM_Solar_Talin,,Armenia,40.386,43.8972,1641,2016-,World Bank,,Instrument and components has not been manually checked,https://energydata.info/dataset/armenia-solar-radiation-measurement-data,Freely,,Thermopile,
Yerevan Agro,ARM_Solar_YerevanAgro,,Armenia,40.1887,44.3976,946,2016-,World Bank,,Instrument and components has not been manually checked,https://energydata.info/dataset/armenia-solar-radiation-measurement-data,Freely,,Thermopile,
Feni,BGD_Solar_BDFE2_Feni,,Bangladesh,22.80029,91.35819,5,2017-,ESMAP,Suntrace GmbH,,https://energydata.info/dataset/bangladesh-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Malanville,BEN_Solar_Malanville,,Bénin,11.78272,3.37349,184,2021-,World Bank,CSP Services,,https://energydata.info/dataset/benin-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Parakou,BEN_Solar_Parakou,,Bénin,9.33117,2.59119,387,2021-,World Bank,CSP Services,,https://energydata.info/dataset/benin-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Dori,BFA_Solar_Dori,,Burkina Faso,14.03045,-0.02435,285,2021-,World Bank,CSP Services,,https://energydata.info/dataset/burkina-faso-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Dédougou,BFA_Solar_Dédougou,,Burkina Faso,12.4662,-3.47294,305,2021-,World Bank,CSP Services,,https://energydata.info/dataset/burkina-faso-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Kaya,BFA_Solar_Kaya,,Burkina Faso,13.08301,-1.07272,324,2021-,World Bank,CSP Services,Instrument and components has not been manually checked,https://energydata.info/dataset/burkina-faso-solar-radiation-measurement-data,Freely,2,Thermopile,G
Koupéla,BFA_Solar_Koupéla,,Burkina Faso,12.19104,-0.36292,302,2021-,World Bank,CSP Services,Instrument and components has not been manually checked,https://energydata.info/dataset/burkina-faso-solar-radiation-measurement-data,Freely,2,Thermopile,G
Korhogo,CIV_Solar_Korhogo,,Côte d'Ivoire,9.48058,-5.59509,370,2022-,World Bank,CSP Services,,https://energydata.info/dataset/cote-divoire-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Sérébou,CIV_Solar_Sérébou,,Côte d'Ivoire,7.93282,-4.00525,195,2022-,World Bank,CSP Services,,https://energydata.info/dataset/cote-divoire-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Weno,FSM_Solar_Weno,,Federated States of Micronesia,7.467517,151.849834,4,2020-2022,World Bank,GeoSUN Africa,Instrument and components has not been manually checked,https://energydata.info/dataset/federates-states-of-micronesia-solar-radiation-measurement-data,Freely,2,Thermopile,G
Farafenni,GMB_Solar_Farafenni,,Gambia,13.57301,-15.59253,19,2021-,World Bank,CSP Services,,https://energydata.info/dataset/the-gambia-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Sunyani,GHA_Solar_Sunyani,,Ghana,7.34865,-2.34034,330,2021-,World Bank,CSP Services,,https://energydata.info/dataset/ghana-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Navrongo,GHA_Solar_Navrongo,,Ghana,10.87554,-1.06293,180,2021-,World Bank,CSP Services,,https://energydata.info/dataset/ghana-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Kankan,GIN_Solar_Kankan,,Guinée,10.36465,-9.30466,375,2021-,World Bank,CSP Services,,https://energydata.info/dataset/guinea-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Tarambaly,GIN_Solar_Tarambaly,,Guinée,11.356,-12.13706,860,2021-,World Bank,CSP Services,,https://energydata.info/dataset/guinea-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Gabu,GNB_Solar_Gabu,,Guinée-Bissau,12.30108,-14.24273,75,2022-,World Bank,CSP Services,,https://energydata.info/dataset/guinea-bissau-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Bissau,GNB_Solar_Bissau,,Guinée-Bissau,11.85643,-15.58877,20,2022-,World Bank,CSP Services,Instrument and components has not been manually checked,https://energydata.info/dataset/guinea-bissau-solar-radiation-measurement-data,Freely,2,Thermopile,G
Laisamis,KEN_Solar_Laisamis,,Kenya,1.601891,37.802681,576,2019-2021,World Bank,GeoSUN Africa,Instrument and components has not been manually checked,https://energydata.info/dataset/kenya-solar-radiation-measurement-data,Freely,2,Thermopile,G
Narok,KEN_Solar_Narok,,Kenya,-1.321097,35.705708,1914,2019-2021,World Bank,GeoSUN Africa,Instrument and components has not been manually checked,https://energydata.info/dataset/kenya-solar-radiation-measurement-data,Freely,2,Thermopile,G
Homa Bay,KEN_Solar_Homa Bay,,Kenya,-0.764707,34.360379,1335,2019-2021,World Bank,GeoSUN Africa,Instrument and components has not been manually checked,https://energydata.info/dataset/kenya-solar-radiation-measurement-data,Freely,2,Thermopile,G
Ras Baalbak,LBN_Solar_RasBaalbak,,Lebanon,34.2729846,36.4270535,910,2019-,World Bank,Fraunhofer ISE,Instrument and components has not been manually checked,https://energydata.info/dataset/lebanon-solar-radiation-measurements,Freely,2,Thermopile,G
Lari Tal Amara,LBN_Solar_LariTalAmara,,Lebanon,33.856794,35.986594,935,2019-,World Bank,Fraunhofer ISE,Instrument and components has not been manually checked,https://energydata.info/dataset/lebanon-solar-radiation-measurements,Freely,2,Thermopile,G
Buchanan,LBR_Solar_Buchanan,,Liberia,5.92397,-9.99337,20,2022-,World Bank,CSP Services,,https://energydata.info/dataset/liberia-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Yekepa,LBR_Solar_Yekepa,,Liberia,7.39317,-8.66813,446,2022-,World Bank,CSP Services,,https://energydata.info/dataset/liberia-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Mount Coffee,LBR_Solar_MountCoffee,,Liberia,6.4978,-10.6517,20,2021-,World Bank,CSP Services,Instrument and components has not been manually checked,https://energydata.info/dataset/liberia-solar-radiation-measurement-data,Freely,2,Thermopile,G
Blantyre,MWI_Solar_Blantyre_BLZ,,Malawi,-15.67996,34.97203,770,2016-2018,ESMAP,SGS Malawi,,https://energydata.info/dataset/malawi-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Kasungu,MWI_Solar_Kasungu_KBQ,,Malawi,-13.0153,33.4685,1065,2016-2018,ESMAP,SGS Malawi,Instrument and components has not been manually checked,https://energydata.info/dataset/malawi-solar-radiation-measurement-data,Freely,2,Thermopile,G
Mzuzu,MWI_Solar_MZUNI,,Malawi,-11.4199,33.9953,1285,2016-2018,ESMAP,SGS Malawi,Instrument and components has not been manually checked,https://energydata.info/dataset/malawi-solar-radiation-measurement-data,Freely,2,Thermopile,G
Gan,MDV_Solar_Gan_GAN,,Maldives,-0.6911,73.1599,2,2015-,ESMAP,Renewable Energy Maldives,Instrument and components has not been manually checked,https://energydata.info/dataset/maldives-solar-radiation-measurement-data,Freely,2,Thermopile,G
Hanimaadhoo,MDV_Solar_Hanimaadhoo_HAQ,,Maldives,6.7482,73.1696,2,2015-,ESMAP,Renewable Energy Maldives,Instrument and components has not been manually checked,https://energydata.info/dataset/maldives-solar-radiation-measurement-data,Freely,2,Thermopile,G
Kadhdhoo,MDV_Solar_Kadhdhoo_KDO,,Maldives,1.8599,73.5203,2,2015-,ESMAP,Renewable Energy Maldives,Instrument and components has not been manually checked,https://energydata.info/dataset/maldives-solar-radiation-measurement-data,Freely,2,Thermopile,G
Hulhulé,MDV_Solar_Male _MLE,,Maldives,4.1927,73.5281,2,2015-,ESMAP,Renewable Energy Maldives,Instrument and components has not been manually checked,https://energydata.info/dataset/maldives-solar-radiation-measurement-data,Freely,2,Thermopile,G
Bougouni,MLI_Solar_Bougouni,,Mali,11.40743,-7.48193,335,2021-,World Bank,CSP Services,Instrument and components has not been manually checked,https://energydata.info/dataset/mali-solar-radiation-measurement-data,Freely,2,Thermopile,G
Fana,MLI_Solar_Fana,,Mali,12.76684,-6.96159,329,2021-,World Bank,CSP Services,Instrument and components has not been manually checked,https://energydata.info/dataset/mali-solar-radiation-measurement-data,Freely,2,Thermopile,G
Sanankoroba,MLI_Solar_Sanankoroba,,Mali,12.39112,-7.93737,356,2021-,World Bank,CSP Services,Instrument and components has not been manually checked,https://energydata.info/dataset/mali-solar-radiation-measurement-data,Freely,2,Thermopile,G
Sikasso,MLI_Solar_Sikasso,,Mali,11.30547,-5.73713,375,2021-,World Bank,CSP Services,,https://energydata.info/dataset/mali-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Manantali,MLI_Solar_Manantali,,Mali,13.2005,-10.4308,175,2021-,World Bank,CSP Services,,https://energydata.info/dataset/mali-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Majuro,MHL_Solar_Majuro,,Marshall Islands,7.065048,171.268887,5,2020-2022,World Bank,GeoSUN Africa,Instrument and components has not been manually checked,https://energydata.info/dataset/marshall-islands-solar-radiation-measurement-data,Freely,2,Thermopile,G
Yaren,NRU_Solar_Yaren,,Nauru,-0.543447,166.93197,28,2020-2022,World Bank,GeoSUN Africa,Instrument and components has not been manually checked,https://energydata.info/dataset/nauru-solar-radiation-measurement-data,Freely,2,Thermopile,G
Dharan,NPL_Solar_Dharan,,Nepal,26.79291,87.29263,315,2018-,ESMAP,CSP Services,,https://energydata.info/dataset/nepal-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Jumla,NPL_Solar_Jumla,,Nepal,29.27237,82.19351,2363,2018-,ESMAP,CSP Services,,https://energydata.info/dataset/nepal-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Kathmandu,NPL_Solar_Kathmandu,,Nepal,27.68157,85.31868,1315,2018-,ESMAP,CSP Services,,https://energydata.info/dataset/nepal-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Lumle,NPL_Solar_Lumle,,Nepal,28.29666,83.818,1742,2018-,ESMAP,CSP Services,,https://energydata.info/dataset/nepal-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Nepalgunj,NPL_Solar_Nepalgunj,,Nepal,28.11302,81.58899,150,2018-,ESMAP,CSP Services,,https://energydata.info/dataset/nepal-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Maradi,NER_Solar_Maradi,,Niger,13.52455,7.1678,375,2022-,World Bank,CSP Services,,https://energydata.info/dataset/niger-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Lossa,NER_Solar_Lossa,,Niger,13.94701,1.57469,205,2022-,World Bank,CSP Services,Instrument and components has not been manually checked,https://energydata.info/dataset/niger-solar-radiation-measurement-data,Freely,2,Thermopile,G
Zabori,NER_Solar_Zabori,,Niger,12.70536,3.55519,235,2022-,World Bank,CSP Services,,https://energydata.info/dataset/niger-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Bauchi,NGA_Solar_Bauchi,,Nigeria,10.28526,9.85059,597,2021-,World Bank,CSP Services,,https://energydata.info/dataset/nigeria-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
