Station full name;Abbreviation;Location;Latitude;Longitude;Elevation;Time period;Comment
Abashiri;ABS;Japan;44.0178;144.2797;38;2021;Candidate station (no. 86)
Alert;ALE;Canada, Lincoln Sea;82.49;-62.42;127;2004;Closed
Alice Springs;ASP;Australia, Northern Territory;-23.798;133.888;547;1995;
Barrow;BAR;USA , Alaska;71.323;-156.607;8;1992;
Bermuda;BER;USA, Bermuda;32.267;-64.667;8;1992;
Billings;BIL;USA, Oklahoma;36.605;-97.516;317;1993;
Bondville;BON;USA, Illinois;40.0667;-88.3667;213;1995;
Boulder;BOS;USA, Colorado;40.125;-105.237;1689;1995;
Boulder;BOU;USA, Colorado;40.05;-105.007;1577;1992;Closed in July 2016
Brasilia;BRB;Brazil, Brasilia City;-15.601;-47.713;1023;2006;
Budapest-Lorinc;BUD;Hungary, Budapest;47.4291;19.1822;139.1;2019;
Cabauw;CAB;Netherlands;51.9711;4.9267;0;2005;
Camborne;CAM;United Kingdom;50.2167;-5.3167;88;2001;
Cape Baranova;CAP;Russia;79.27;101.75;;2016;
Carpentras;CAR;France;44.083;5.059;100;1996;Closed in Dec 2018
Chesapeake Light;CLH;USA, North Atlantic Ocean;36.905;-75.713;37;2000;Closed in Dec 2016, structural issues
Cener;CNR;Spain, Navarra;42.816;-1.601;471;2009;
Cocos Island;COC;Australia, Cocos (Keeling) Islands;-12.193;96.835;6;2004;
De Aar;DAA;South Africa;-30.6667;23.993;1287;2000;
Darwin;DAR;Australia;-12.425;130.891;30;2002;Closed Jan 2015
Concordia Station, Dome C;DOM;Antarctica;-75.1;123.383;3233;2006;
Dongsha Atoll;DON;Taiwan;20.7;116.73;2;;Candidate
Desert Rock;DRA;USA, Nevada;36.626;-116.018;1007;1994;
Darwin Met Office;DWN;Australia;-12.424;130.8925;32;2008;
Southern Great Plains;E13;USA, Oklahoma;36.605;-97.485;318;1997;
Eastern North Atlantic;ENA;Portugal, Azores;39.0911;-28.0292;15.2;;Candidate
Eureka;EUR;Canada, Ellesmere Island;79.989;-85.9404;85;2007;Closed
Florianopolis;FLO;Brazil, South Atlantic Ocean;-27.6047;-48.5227;11;1994;
Fort Peck;FPE;USA, Montana;48.3167;-105.1;634;1995;
Fukuoka;FUA;Japan;33.5822;130.3764;3;2010;
Gandhinagar;GAN;India;23.1101;72.6276;65;2014;
Goodwin Creek;GCR;USA, Mississippi;34.2547;-89.8729;98;1995;
Granite Island;GIM;USA, Michigan;46.721;87.411;208;2019;
Gobabeb;GOB;Namibia, Namib Desert;-23.5614;15.042;407;2012;
Gurgaon;GUR;India;28.4249;77.156;259;2014;
Georg von Neumayer;GVN;Antarctica, Dronning Maud Land;-70.65;-8.25;42;1992;
Howrah;HOW;India;22.5535;88.3064;51;2014;
Ilorin;ILO;Nigeria;8.5333;4.5667;350;1992;Station closed in mid-2005, no funding
Ishigakijima;ISH;Japan;24.3367;124.1644;5.7;2010;
Izaña;IZA;Spain, Tenerife;28.3093;-16.4993;2372.9;2009;
Kwajalein;KWA;Marshall Islands;8.72;167.731;10;1992;Closed
Lauder;LAU;New Zealand;-45.045;169.689;350;1998;
Lerwick;LER;United Kingdom, Shetland Island;60.1389;-1.1847;80;2001;
Lindenberg;LIN;Germany;52.21;14.122;125;1994;
Lulin;LLN;Taiwan;23.4686;120.8736;2862;2009;
Langley Research Center;LRC;USA, Virginia;37.1038;-76.3872;3;2014;
Lanyu Station;LYU;Taiwan;22.037;121.5583;324;2018;
Momote;MAN;Papua New Guinea;-2.058;147.425;6;1996;Closed late 2013
Minamitorishima;MNM;Japan, Minami-Torishima;24.2883;153.9833;7.1;2010;
Marguele;MRS;Romania;44.3439;26.0123;110;;Candidate Station (no. 88)
Nauru Island;NAU;Nauru;-0.521;166.9167;7;1998;Closed late 2013
